ID,类型,值,深度,发现时间,状态,标题/备注,指纹,CMS,服务器
domain:1sy.top,domain,1sy.top,0,2026-08-18 20:44:50,scanned,,,,
domain:ssh.1sy.top,domain,ssh.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:pgadmin.1sy.top,domain,pgadmin.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:intranet.1sy.top,domain,intranet.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:wechat.1sy.top,domain,wechat.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:chat.1sy.top,domain,chat.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:proxy.1sy.top,domain,proxy.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:im.1sy.top,domain,im.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:uat.1sy.top,domain,uat.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:book.1sy.top,domain,book.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:cart.1sy.top,domain,cart.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:www.1sy.top,domain,www.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:metrics.1sy.top,domain,metrics.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:api-gateway.1sy.top,domain,api-gateway.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:uploads.1sy.top,domain,uploads.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:lb.1sy.top,domain,lb.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:tmp.1sy.top,domain,tmp.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:webmail.1sy.top,domain,webmail.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:career.1sy.top,domain,career.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:git.1sy.top,domain,git.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:sftp.1sy.top,domain,sftp.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:jobs.1sy.top,domain,jobs.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:github.1sy.top,domain,github.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:oss.1sy.top,domain,oss.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:cdn2.1sy.top,domain,cdn2.1sy.top,1,2026-08-18 20:45:25,scanned,,,,
domain:images.1sy.top,domain,images.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:cms.1sy.top,domain,cms.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:socket.1sy.top,domain,socket.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:cached.1sy.top,domain,cached.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:elk.1sy.top,domain,elk.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:miniapp.1sy.top,domain,miniapp.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:wiki.1sy.top,domain,wiki.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:apps.1sy.top,domain,apps.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:read.1sy.top,domain,read.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:data.1sy.top,domain,data.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:assets.1sy.top,domain,assets.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:comic.1sy.top,domain,comic.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:ccgj.1sy.top,domain,ccgj.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:backup.1sy.top,domain,backup.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:health.1sy.top,domain,health.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:idc.1sy.top,domain,idc.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:yyz.1sy.top,domain,yyz.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:shop.1sy.top,domain,shop.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:api2.1sy.top,domain,api2.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:cas.1sy.top,domain,cas.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:grpc.1sy.top,domain,grpc.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:api-prod.1sy.top,domain,api-prod.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:ns2.1sy.top,domain,ns2.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:prod.1sy.top,domain,prod.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:m.1sy.top,domain,m.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:phpadmin.1sy.top,domain,phpadmin.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:index.1sy.top,domain,index.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:zabbix.1sy.top,domain,zabbix.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:security.1sy.top,domain,security.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:manager.1sy.top,domain,manager.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:buy.1sy.top,domain,buy.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:cdn3.1sy.top,domain,cdn3.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:ns3.1sy.top,domain,ns3.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:news.1sy.top,domain,news.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:recruit.1sy.top,domain,recruit.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:img.1sy.top,domain,img.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:static2.1sy.top,domain,static2.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
domain:sale.1sy.top,domain,sale.1sy.top,1,2026-08-18 20:45:25,excluded,,,,
