源资产ID,目标资产ID,关系类型
1sy.top,ssh.1sy.top,discovered
1sy.top,pgadmin.1sy.top,discovered
1sy.top,intranet.1sy.top,discovered
1sy.top,wechat.1sy.top,discovered
1sy.top,chat.1sy.top,discovered
1sy.top,proxy.1sy.top,discovered
1sy.top,im.1sy.top,discovered
1sy.top,uat.1sy.top,discovered
1sy.top,book.1sy.top,discovered
1sy.top,cart.1sy.top,discovered
1sy.top,www.1sy.top,discovered
1sy.top,metrics.1sy.top,discovered
1sy.top,api-gateway.1sy.top,discovered
1sy.top,uploads.1sy.top,discovered
1sy.top,lb.1sy.top,discovered
1sy.top,tmp.1sy.top,discovered
1sy.top,webmail.1sy.top,discovered
1sy.top,career.1sy.top,discovered
1sy.top,git.1sy.top,discovered
1sy.top,sftp.1sy.top,discovered
1sy.top,jobs.1sy.top,discovered
1sy.top,github.1sy.top,discovered
1sy.top,oss.1sy.top,discovered
1sy.top,cdn2.1sy.top,discovered
1sy.top,images.1sy.top,discovered
1sy.top,cms.1sy.top,discovered
1sy.top,socket.1sy.top,discovered
1sy.top,cached.1sy.top,discovered
1sy.top,elk.1sy.top,discovered
1sy.top,miniapp.1sy.top,discovered
1sy.top,wiki.1sy.top,discovered
1sy.top,apps.1sy.top,discovered
1sy.top,read.1sy.top,discovered
1sy.top,data.1sy.top,discovered
1sy.top,assets.1sy.top,discovered
1sy.top,comic.1sy.top,discovered
1sy.top,ccgj.1sy.top,discovered
1sy.top,backup.1sy.top,discovered
1sy.top,health.1sy.top,discovered
1sy.top,idc.1sy.top,discovered
1sy.top,yyz.1sy.top,discovered
1sy.top,shop.1sy.top,discovered
1sy.top,api2.1sy.top,discovered
1sy.top,cas.1sy.top,discovered
1sy.top,grpc.1sy.top,discovered
1sy.top,api-prod.1sy.top,discovered
1sy.top,ns2.1sy.top,discovered
1sy.top,prod.1sy.top,discovered
1sy.top,m.1sy.top,discovered
1sy.top,phpadmin.1sy.top,discovered
1sy.top,index.1sy.top,discovered
1sy.top,zabbix.1sy.top,discovered
1sy.top,security.1sy.top,discovered
1sy.top,manager.1sy.top,discovered
1sy.top,buy.1sy.top,discovered
1sy.top,cdn3.1sy.top,discovered
1sy.top,ns3.1sy.top,discovered
1sy.top,news.1sy.top,discovered
1sy.top,recruit.1sy.top,discovered
1sy.top,img.1sy.top,discovered
1sy.top,static2.1sy.top,discovered
1sy.top,sale.1sy.top,discovered
1sy.top,api-test.1sy.top,discovered
1sy.top,ebook.1sy.top,discovered
1sy.top,library.1sy.top,discovered
1sy.top,saml.1sy.top,discovered
